epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.995545,2.95963,0,0.38889,3.14618,1.82e-05,1.82e-05,1.82e-05
2,1.74713,3.0197,0.05556,0.38889,3.01176,3.95987e-05,3.95987e-05,3.95987e-05
3,2.34811,3.0017,0.05556,0.33333,3.09841,5.94958e-05,5.94958e-05,5.94958e-05
4,2.98337,2.84362,0.05556,0.33333,2.79999,7.78914e-05,7.78914e-05,7.78914e-05
5,3.66766,2.83236,0.05556,0.38889,2.85807,9.47856e-05,9.47856e-05,9.47856e-05
6,4.35486,2.82482,0.05556,0.44444,2.89285,0.000110178,0.000110178,0.000110178
7,5.01158,2.69118,0.05556,0.5,2.73916,0.000124069,0.000124069,0.000124069
8,5.64064,2.66337,0.05556,0.5,2.74856,0.000136459,0.000136459,0.000136459
9,6.23996,2.74149,0.05556,0.5,2.82007,0.000147347,0.000147347,0.000147347
10,6.84617,2.62219,0.05556,0.55556,2.67555,0.000156734,0.000156734,0.000156734
11,7.47244,2.53753,0.11111,0.61111,2.63212,0.000164619,0.000164619,0.000164619
12,8.10802,2.47737,0.16667,0.61111,2.63675,0.000171003,0.000171003,0.000171003
13,8.75932,2.38326,0.11111,0.61111,2.85727,0.000175885,0.000175885,0.000175885
14,9.40305,2.45531,0.11111,0.61111,2.59141,0.000179265,0.000179265,0.000179265
15,10.084,2.29051,0.16667,0.61111,2.77752,0.000181145,0.000181145,0.000181145
16,10.9525,2.46427,0.11111,0.61111,2.84541,0.000181522,0.000181522,0.000181522
17,11.5551,2.25469,0.16667,0.61111,2.42667,0.000180398,0.000180398,0.000180398
18,12.2002,2.18167,0.16667,0.61111,2.72901,0.000177773,0.000177773,0.000177773
19,12.8235,2.11037,0.11111,0.66667,2.87891,0.000173646,0.000173646,0.000173646
20,13.5264,2.29709,0.16667,0.66667,2.43891,0.000168018,0.000168018,0.000168018
21,14.208,2.20989,0.16667,0.66667,2.38234,0.0001547,0.0001547,0.0001547
22,14.9077,2.20289,0.22222,0.61111,2.64848,0.000139685,0.000139685,0.000139685
23,15.6048,1.97767,0.22222,0.61111,3.1882,0.00012467,0.00012467,0.00012467
24,16.2926,2.13907,0.22222,0.61111,2.21755,0.000109655,0.000109655,0.000109655
25,17.0751,1.98673,0.16667,0.66667,2.77285,9.464e-05,9.464e-05,9.464e-05
26,17.8566,1.96776,0.16667,0.66667,2.52908,7.9625e-05,7.9625e-05,7.9625e-05
27,18.5244,2.07534,0.16667,0.66667,2.46174,6.461e-05,6.461e-05,6.461e-05
28,19.1591,2.09013,0.16667,0.66667,2.15421,4.9595e-05,4.9595e-05,4.9595e-05
29,19.8169,2.00971,0.16667,0.66667,2.59101,3.458e-05,3.458e-05,3.458e-05
30,20.4844,1.9408,0.16667,0.66667,2.7332,1.9565e-05,1.9565e-05,1.9565e-05
